PageNo,Text
94,"['Mr. Harris came soon after the gentlemen left. and The', 'dined with rust they did not come in time to all', 'ele', 'him. lu the afternoon we went ashore a cem', 'is', 'paired by Capt. of Mrs. brocker. Walked through the', 'Ja', 'city of Victoria- went into some clinese shopsite.', 'Cov', 'The whole front of the shops remains open me', 'ou', 'leave before day for Whompod.', 'too', 'March 3rd Have been quite reuwell, asing l sup', 'of A', 'pose to indulgence in eating fruit. Canton river', 'fu', 'wide in some places, with many islands. paped some', 'dis', 'forts on each side of the river-High bluffs- granite', 'no', 'eliffs of mountains. About more saw a boat being', 't', 'rowed by fourteen men Capt. said this was a ladric', 'A', 'or piratted boat. Had the guns made ready incass U', 'of attack. several clin a (pilots, am board served to', 'do', 'know what it was, and expressed some concern.', 'l', 'This afternoon took on another pilot, while his little', 'l', 'boat is still attached to us. in is a momar a babe', 'le', 'of three boys. Dr. asked the woman the price of her', 'bube.', 'h', 'she could not understand. He went to the pilot &', '2', 'asked him what he would ask for his child. He had', 'of', 'only anchild- no give that away. The boys perhaps his', 'w', 'brothers, or else lived by him. Anchoed about seven', 'I', 'thirty miles below Canton.', 'still unwell.', 'o']"
95,"['Kind words)', '1852', 'and Arrived at mompoa about', 'all', 'eleven-humber of slips anchored, while the river', 'in is alive with neat little boats. These are in els', 'the sampans than those at Hong Kong - and better', 'the covered. Number of American captains called on', 'the our slip-also - the y anthe who, alone,', 'took a chinese fort and delivered it into the', 'handine', 'supper of the English during the was, and performed other.', 'niver', 'feats of a similar nature bay so mainy and', '1 sm', 'disagreeable we decide to postppone until bumar', 'its now our visit to Canton. Behooner Minna', 'by to sail for Shanghai in a few d ays. passage', 'labra $ 120.00 each. Fine captain & ar emmo dations.', 'inea March 5th At half past nine got into a sampan s', 'its dowwed by four and woman,', ""men one and start R's"", 'm. ed up the river. Seenery beautiful-river enliven', 'S', 'little', 'L d by boats several pagodas to be seem lu', 'take', 'lef', 'than two hours we came upon boats and', 'aluku, houses in abundance which Sam told us', 'pt was ""all same Cantoni meaning it was a part', 'had of the city- without the walks. The great river', 'pasting', 'was literally covered with great boats, Bittle boats,', 'vem lunks, and erafts of every description. same', 'old and benely, others scorseously decerated.']"
96,"['Capt. Cracker in a boat behind was to direct', 'V', 'us to the house of us. French. me I aped the house st', 'before boat', 'his overtonk us.Had ans Turn back', 'D.', 'to meet him. After receiving directions went', 'of', 'on back dem the river, sam pretending', ': -', 'w', 'to know where Mr. F. lived. seemed impos-', 'sible to set to the shore from the beats-As of', 'last squeesed in and Dampan man went', 'to', 'ashore to enquire. Had some too far down', 'to', 'so me Turned up. and were soon at the', 'n', 'house. less. 7. am agreable lady, at home-welenal', 'h', ""us. som the Two sentlemen left me atillin's"", 'I', 'and ment up to the Factories on business.', 'a', 'lls. 7 reach. Mr. Bettingu. us. & Dr. Happer', 'c', 'came in - all agreeable. kind. lls. Lysony.', 'chinese woman called-achstian think.', 'Sentlemen came by there oiclock and', 'informed me the Minna would perhaps', 'bethe', 'next day. Engaged passage', 'As she might remain in Heny King', 'some d lays the Sr. the ought to memal m', 'Q. take the Jues', 'and day Steamen Abond', 'four husband and l started to mempor', 'where me arrived about Reven. or before.']"
97,"['1852', 'Minna gone. mote Dr. to came an termanions', 'steamer to jim his in Hong King.', 'Datunday Mar. 6th T look an affe etimate leave', 'of Capt.C. lady and Heratic, came on to steam', 'where we found Dr. ys. Mostly English people', ',', 'l', 'suppose. They have not the easy, grank,', 'open character which is such an essential', 'part of an American Had a disapreable', '-', 'time in the little old cabin se a sick, and', 'without husband. Another lady (sup. Eng.) and', 'her elimese moma- no company for me.', '0,', 'stopping at Maea lady got off- two others an. 4', 'One of the latter l learn since is Mrs. Sutzeal.', 'T', 'Arrived at H. K. about ten-quite warn out. As', ""Mr. Iohusois opinion of Bentzlaff and his R's"", 'labors is different from the impripion at', 'home. He says S. did more harm than good,', '1', 'His councits were innoval even his preach', 'les served only for money. He unpated a hundred', 'in', ';', 'ministers in his employ- They wouldge of', 'pretendedly, and after staying their time', 'not', 'out', 'punhaps within a few miles of him', 'would return with lay journ als and uports', 'of the commisions of thousands. some would', '1']"
98,"['be him d to present a', 'Themselves and the', 'J', 'long story of having heard of the religiou taugh', 'so', 'by the great Putroloff and had come to learnines', 's', ""of 'h.This was a papept to baptism. whether"", '1', 'S. was duped, or a duper, or partly both is', 'not', 'h', 'th', 'known but all his fair reports reached our enn', 'try His into efe.', 'translations diamese were made', 'be', 'by chinamen who knew nothing of the Birls', 'to', 'and of course were owful. How three all this is', 'I', 'I know not. His window is said to he not pious-', 'd', 'left lu emsiderable wealth.', 'n', 'March 7th Attended service in English at the', 'b', 'congregational church at eleven - a companies', 'le', 'by', 'Mr. & us. Trooman- congregational mis. who', 'I', 'arrived yesterday an the pant Kussell also', 'b', 'Mip Heminjaray, a n in the our', 'a', 'nice of Mrs. be silver mife, consult at Macas)', 'l', 'were inited to join in the communication', 'e', 'which are did not a @ ake lip H.did. the', 'apologised to us an return by saying she', 'I', 'was am open communion us aptist!', 't', ""Progra-muting in the evening at Mr. Dear's"", 'I my heart is opprefed with allumala', 'ted risponsitilities! The horrors of heatherions']"
99,"['1852', 'Monday 8th sined at Ur.Colis. Mr. lohnson', 'says he was farmerly attached to the old', 'school board, as printer at', 'prestrition', 'or resigned', 'Nanypo was dispriped for some reason- and', 'has been have there years in the service of', 'the London miss. society. Has enstructed a', '2', 'beautiful font of type. Thinks of song to Cali', 'fornia. yas never other died clinese language', 'I did not know this last to-day while he', 'dis', 'couraged me with the differentlies between', 'nothing of spent am agreeable hour with', 'br. beamite encouraged me. says any mercan', 'learn the language try dysces- seme capidly.', 'of', 'l', 'cannot', 'learn', 'it', 'it', 'is', 'not', 'my', 'duty.', 'I', 'must', ""be careful of health for my am sake, my husband's"", 'and the missions. If l can do no more l can', 'live religion- can he am example. O that my', 'example may he monthy', 'Mr. a thrs. Mooman aniable Dhis people:', 'seemingly zealous, and autions to be about', 'their labors.', 'Capital + congress lits any hunts', 'Tuesday 9th Have been quite nuwell all day. spent', 'an hour this morning with fr. lean: had a pleasant']"
100,"['hour taking of home, friends trials, difficultus and', ""peculian drangers of the missionary's life. Quite a"", 'company at tea this evening. Among others', 'Manny, Harris, , Rewell nd. S. N.Had a pleasant', 'time conversing various topics, and listening', 'to others. it is interesting to sit quietly and watch', 'the various tinus and character in an mean', 'seions assembly! U my heart is opprefed with', 'such a mens lrt n thank faith l should despair.', 'But China must be converted. those that', 'sow must re ap.', 'mednesday Mar. 10th quisted u. Man of war Saratoga', 'was', 'quite delighted with the anangements.', 'About moon heard the Minna would nothane', 'until Tomorrow-os we made cunsills easy.', 'soon however a hasty remn called us off', 'Came an before dinner in haster Felts', 'quite sick our entering my state roominach', 'a small. Had dinner at there and felt better.', 'me were still in the hartor. Br. lohnson', 'came off after dinner with a present', 'of', 'some fruit. Look up anchers, moved a few', 'hundred yds., so calm cast anchor- and', 'we and still in the harbor.']"
101,"['48', 'Shuroday 11th Left H.K. about two in the night Being', 'already indisposed l rise uentil late in', 'did not', 'the days C. vomited before breakfast. l was not long', 'up before vomiting sick all day - vouited twice.', 'still in sight of Hong Kong.', '12th Been better all day. Almast becalmed.', 'Not so pleasantly situated as an the Haration', 'lu the first place no other lady aboar dine the', 'second place the servants & oailas are elinnese,', 'malays, of mamilla-men. all despisers of', 'my sex. Not that I eare for their regard fer me,', 'Art their very presence treeps constantly before', 'my mind the condition of woman in Asia.0', 'these are heavy thoughts they erush me! How', 'fruely would l pour out my life for er their good', 'I', 'son', 'of', 'God,', 'then', 'caust pitty the afficted, the', 'mined, dyraded:-', 'Captain Patter seems rather indifferent to am', 'wants. as to take', 'but leaves care of our own cem', 'forti plenty of sevauts-so are can do very well.', 'Our fillow-passenger. lls. Francis, has plenty', 'of', 'the John Bull about him.', 'This is the anniversary of our aved ding -day! A', 'time for reflections']"
102,"['March 13th daturday. The bright sunlight again', '9', 'dances over the waters. and sends a chaiful', 'say into our hearts.""she glooming of tho weather', 'a', 'in Hong Kong depresed my spirits- I h are feet', '/ relief in the change. bay cool and bracing', '( Almost well- in fact able to re ad a little', 'a during the day. We are making slow prograph', '1. still we ful that our next, is ans final stop-', 'liping place.', 'a', '&', '1', 'it requires no deep discomment to discoverthos', '8', '"" Dr. Buston repects having come to China withouta', '/', 'wife He made several attempts, but his heart was', '0', 'not in the matter. see the time he was court', '7', 'ing, first in one place, then another, his heart', 'l', 'a was elinging to am old flame. How could', 'he', 'ex-', 'g', 'to pect to intertain proper fulings for any else?', 'C', '( Besides, he addreped several who were not', 'A', 'I', 'religions. He must have strange ideas. 6 what', 'd could support a thinking being under such', '/ eircumstances, without the consolations of re-', 'elijionidid he expect to find a help in his', 'arducas labars: with even the most devourt', 'companion it is hard how then when the', 'one in his bason constantly famles him back:']"
103,"['1852', 'If', 'I', 'am', 'the', 'judge from his conversation he would', 'make personal beauty more am essential them', 'any quality of mind or he art. proy God may', 'direct him, and enable him to make a wise', 'i', 'to chinee . for l think he will certainly marry.', 'March 14th Aunday, No religious society on board', 'keeps husband and the Dr. No worship- - no return', 'my of thanks at table softath service.', 'no These', 'are deprivations - yet we have assented to a life', 'of sacrifice.', 'I am still sorely tried but find a little more', 'comfort.Christ was thus tempted- he Triumphed', 'The was made perfect through suffering. Mine is', 'for my am good- l know it- - I feel Ai-get it is one', 'for', 'the', 'present-spictors.', 'Through faith all things are', 'mine? I thank then, my savior, co I thank there', 'that Jhou, and Through then, all Things, are mine!', 'Considerable wind all day- - increasing very', 'slightly affected by the motion can make', 'but', 'slow prograp with a head mind.', '15th Membry Far from fuling at home on this ves-', 'sel. Mr. Francis is a selfish Englishman, and the caph', 'is a rough tumble yankee. neither of them agreeable', 'as companions. considerable wind, rough sea']"
